Код ЦБ;Краткое наименование ;Дата собрания;Дата фиксации реестра;Ставка, рекомендованная по обыкновенным акциям;Ставка, рекомендованная по привилегированным акциям;Ставка, определенная по обыкновенным акциям;Ставка, определенная по привилегированным акциям;Дивиденды за период;Дата появления события в ленте новостей;Источник;ИНН эмитента
UALK;ОАО "Пермский вино-водочный завод "УРАЛАЛКО";22/06/2012;22/05/2012;;;;;2011;22/05/2012;Интерфакс;5904101820
VSMZ;ОАО "Выксунский металлургический завод";26/06/2012;22/05/2012;0;;;;2011;22/05/2012;Интерфакс;5247004695
SCEM;ОАО "Холдинговая Компания "Сибирский цемент";28/06/2012;21/05/2012;;;;;2011;22/05/2012;Интерфакс;4205070630
ESPM;ОАО "Энергоспецмонтаж";27/06/2012;22/05/2012;0;;;;2011;23/05/2012;Интерфакс;7718083574
CHMF;ОАО "Северсталь";28/06/2012;15/05/2012;4.07;;;;1 квартал 2012;22/05/2012;Интерфакс;3528000597
GNIT;ОАО "Гранит";28/06/2012;18/05/2012;0;;;;2011;22/05/2012;Интерфакс;7709608867
IZVS;ОАО "Редакция газеты "Известия";27/06/2012;23/05/2012;;;;;2011;23/05/2012;Интерфакс;7710045545
URMK;ОАО "Молочный завод "УССУРИЙСКИЙ";22/06/2012;22/05/2012;;;;;2011;23/05/2012;Интерфакс;2511001569
ASOG;ОАО "Астраханьоблгаз";21/06/2012;21/05/2012;0;;;;2011;23/05/2012;Интерфакс;3017004224
KNMS;ОАО "Кубанские магистральные сети";18/06/2012;05/05/2012;0;;;;2011;23/05/2012;ДКК;2312130841
NIPG;ОАО "Научно-исследовательский и проектный институт по переработке газа";N/A;N/A;0;;;;2011;23/05/2012;Интерфакс;2310004087
KUNM;ОАО "Компания ЮНИМИЛК";28/06/2012;21/05/2012;0;;;;2011;23/05/2012;Интерфакс;7714626332
MTST;ОАО "Кузнецов" (Прежнее ОАО "Моторостроитель");28/06/2012;23/05/2012;0;0.1;;;2011;23/05/2012;Интерфакс;6319033379
PESR;ОАО "Пермэнергоспецремонт";29/06/2012;28/05/2012;0;0;;;2011;23/05/2012;Интерфакс;5904123943
RUSH;ОАО "Управляющая компания "Русский гектар";21/06/2012;22/05/2012;;;;;2011;24/05/2012;ДКК;7723665641
KLNA;ОАО Концерн "Калина";28/06/2012;28/05/2012;;;;;2-e полуг. 2011;24/05/2012;Интерфакс;6608000083
TRNF;ОАО "АК "Транснефть";;24/05/2012;301.31;716.58;;;2011;24/05/2012;Интерфакс;7706061801
ORFE;ОАО "Орскнефтеоргсинтез";27/06/2012;21/05/2012;0;13.93;;;2011;25/05/2012;Интерфакс;5615002700
HMDS;ОАО "Ханты-Мансийскдорстрой";22/06/2012;22/05/2012;35;35;;;2011;24/05/2012;Интерфакс;8601013827
KVMZ;ОАО "Ковровский механический завод";29/06/2012;24/05/2012;0;;;;2011;24/05/2012;Интерфакс;3305004397
CENH;ОАО "Центрэнергохолдинг";27/06/2012;10/05/2012;;;;;2011;24/05/2012;Интерфакс;7729604395
TMAS;ОАО "Тяжмаш";29/06/2012;24/05/2012;0;;;;2011;24/05/2012;Интерфакс;6325000660
KRVA;ОАО "Красный Восток Агро";25/06/2012;01/06/2012;;;;;2011;24/05/2012;Интерфакс;1659052612
SEVP;ОАО "Северный порт";20/06/2012;24/05/2012;;;;;2011;24/05/2012;Интерфакс;7712007390
NTMK;ОАО "Нижнетагильский металлургический комбинат";29/06/2012;24/05/2012;0;;;;2011;25/05/2012;Интерфакс;6623000680
SATR;ОАО "Научно-производственное объединение "Сатурн";29/06/2012;23/05/2012;0;;;;2011;24/05/2012;Интерфакс;7610052644
YKST;ОАО "Управляющая компания "Стратегия";25/06/2012;23/05/2012;;;;;2011;23/05/2012;Интерфакс;5906069723
ODVA;ОАО "О2ТВ";30/06/2012;25/05/2012;;;;;2011;24/05/2012;Интерфакс;7706662633
MMVB_V9;ОАО "ММВБ-РТС";20/06/2012;21/05/2012;;;;;2011;24/05/2012;Интерфакс;7702077840
METS;ОАО "Металлист-Самара";19/06/2012;30/05/2012;;;;;2011;01/06/2012;Интерфакс;6318105574
PENR;ОАО "Пермэнергоремонт";28/06/2012;24/05/2012;0;0;;;2011;25/05/2012;Интерфакс;5904123950
INGE;ОАО "Интергенерация";22/06/2012;30/05/2012;;;;;2011;31/05/2012;Интерфакс;7729604405
IROG;ОАО "Иркутскоблгаз";22/06/2012;22/05/2012;;;;;2011;01/06/2012;Интерфакс;3800000750
NEFZ;ОАО "Нефтемаслозавод";26/06/2012;01/06/2012;;;;;2011;01/06/2012;Интерфакс;5609008608
ROTP;ОАО "Ростовское областное объединение топливных предприятий";28/06/2012;01/06/2012;;;;;2011;31/05/2012;Интерфакс;6163004764
GZES;ОАО "Газэнергосервис";15/05/2012;10/04/2012;18.54;;18.54;;2011;20/04/2012;Интерфакс;7709105630
COFG;ОАО "Центральная обогатительная фабрика "Гуковская";28/06/2012;04/06/2012;;;;;2011;01/06/2012;Интерфакс;6144003719
VSMO;ОАО "Корпорация ВСМПО-АВИСМА";29/06/2012;24/05/2012;26.52;;;;2011;25/05/2012;Интерфакс;6607000556
TUPL;ОАО "Туполев";05/06/2012;25/04/2012;0;;;;2011;19/04/2012;Интерфакс;7705313252
TMGZ;ОАО "Томскоблгаз";29/06/2012;30/05/2012;;;;;2011;01/06/2012;Интерфакс;7000000331
KBSB;ОАО "Кубанская энергосбытовая компания";30/05/2012;18/04/2012;32.48745;;32.48745;;2011;19/04/2012;Интерфакс;2308119595
LEOG;ОАО "Леноблгаз";25/06/2012;25/05/2012;;;;;2011;25/05/2012;Интерфакс;
PRMB;ОАО Акционерный коммерческий Банк "Приморье";29/06/2012;28/05/2012;1,600;;;;2011;25/05/2012;Интерфакс;2536020789
NATP;ОАО "ЕВРАЗ Находкинский морской торговый порт";29/06/2012;24/05/2012;6.69;;;;2011;25/05/2012;Интерфакс;2508001449
SEMZ;ОАО "Софринский экспериментально-механический завод";29/06/2012;28/05/2012;0;;;;2011;01/06/2012;Интерфакс;5038012283
VRPH;ОАО "Верофарм";19/06/2012;02/05/2012;19;;;;2011;23/04/2012;Интерфакс;7725081786
VORG;ОАО "Шахта Воргашорская";05/06/2012;01/05/2012;0;0;;;2011;20/04/2012;Интерфакс;1103020025
YRSB;ОАО "Ярославская сбытовая компания";25/05/2012;19/04/2012;6.50848;6.50848;6.50848;6.50848;2011;20/04/2012;Интерфакс;7606052264
YRSB;ОАО "Ярославская сбытовая компания";25/05/2012;19/04/2012;10.2074;10.2074;10.2074;10.2074;1 квартал 2011;20/04/2012;Интерфакс;7606052264
ALVG;ОАО "Алтайского вагоностроения";31/05/2012;20/04/2012;0;;;;2011;23/04/2012;Интерфакс;2208000010
PFMH;ОАО "Птицефабрика Михайловская";21/05/2012;20/04/2012;;;;;2011;20/04/2012;Интерфакс;6434009920
AMEZ;ОАО "Ашинский металлургический завод";22/06/2012;03/05/2012;;;;;2011;20/04/2012;Интерфакс;7401000473
SNTZ;ОАО "Синарский Трубный Завод";31/05/2012;19/04/2012;18.3;;18.3;;2011;20/04/2012;Интерфакс;6612000551
UZRT;ОАО "Уральский завод резиновых технических изделий";01/06/2012;20/04/2012;0;0;0;0;2011;20/04/2012;Интерфакс;6664002550
ABRD;ОАО "Абрау - Дюрсо";20/06/2012;01/05/2012;0;;;;2011;20/04/2012;Интерфакс;7727620673
CCBK;ОАО "Сокольский целлюлозно-бумажный комбинат";08/06/2012;23/04/2012;0;;;;2011;20/04/2012;Интерфакс;3527000989
THKC;ОАО "Тепловой холдинг коммунальной сферы";14/05/2012;06/04/2012;0;;;;2011;23/04/2012;Интерфакс;7106517835
NUNZ;ОАО "Ново-Уфимский НПЗ" (ОАО "Новойл");25/06/2012;18/05/2012;0.05;0.05;;;2011;20/04/2012;Интерфакс;0277007292
TORS;ОАО "Томская распределительная компания";29/06/2012;24/05/2012;0.002685;0.0340861;;;2011;19/04/2012;Интерфакс;7017114672
OGKA;ОАО Первая ген. компания оптового рынка электроэнергии;13/06/2012;27/04/2012;0;;;;2011;20/04/2012;ДКК;7203158282
