Код ЦБ;Краткое наименование ;Дата собрания;Дата фиксации реестра;Ставка, рекомендованная по обыкновенным акциям;Ставка, рекомендованная по привилегированным акциям;Ставка, определенная по обыкновенным акциям;Ставка, определенная по привилегированным акциям;Дивиденды за период;Дата появления события в ленте новостей;Источник;ИНН эмитента
ZVZD;Звезда НПП;28/05/2009;20/04/2009;-;-;-;-;2008;13/05/2009;Интерфакс;5027030107
SUCE;СухоложскЦемент;05/03/2009;02/02/2009;-;-;1573.17;-;2008;16/02/2009;ДКК;6633001919
ZVSL;Завод Сланцы;19/06/2009;15/05/2009;-;-;не выплач.;1,76;2008;29/05/2009;ДКК;4713000931
ZVEZ;Звезда ;20/06/2009;07/05/2009;не выплач.;-;не выплач.;-;2008;13/05/2009;Интерфакс;7811038760
KVDG;Ковдорский ГОК;20/03/2009;09/03/2009;-;-;117,95;-;2008;20/03/2009;Интерфакс;5104002234
ZSES;Запсибэлектросетьстрой;11/06/2009;05/05/2009;1 500;3,07 ;1 500;3,07 ;2008;13/05/2009;Интерфакс;8602060876
NMAZ;Новомосковская АК Азот;20/03/2009;19/03/2009;-;-;6,572.49;-;2008;31/03/2009;Интерфакс;7116000066
ZSES;Сибэлектросетьстрой;17/06/2009;13/05/2009;0,17;-;0,17;-;2008;18/05/2009;Интерфакс;5407126045
NEAZ;Невинномысский Азот;25/03/2009;20/03/2009;40,75;-;40,75;-;2008;20/03/2009;Интерфакс;2631015563
ZMZN;Заволжский моторный завод;21/05/2009;02/04/2009;-;-;не выплач.;не выплач.;2008;07/04/2009;Интерфакс;5248004137
SKBP;Соликамскбумпром;27/03/2009;18/02/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;16/03/2009;Интерфакс;5919470121
ZENT;Банк ЗЕНИТ;31/03/2009;20/02/2009;-;-;0,03;-;2008;20/02/2009;Интерфакс;7729405872
PKBA;Пивоваренная компания Балтика;02/04/2009;13/02/2009;85,10;85,10;85,10;85,10;2008;17/02/2009;Интерфакс;7830001405
KMAM;КМАэлектромонтаж;02/04/2009;06/03/2009;0.91;0.91;0.91;0.91;2008;15/04/2009;ДКК;3125005391
MKSH;Мебельная компания Шатура;07/04/2009;20/02/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;19/02/2009;Интерфакс;5049007736
UDNP;Удмуртнефтепродукт;07/04/2009;23/03/2009;-;-;не выплач.;не выплач.;2008;12/03/2009;Интерфакс;1826001345
NGSB;Новгородская энергосбытовая компания;09/04/2009;05/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;06/06/2009;Интерфакс;5321102236
TANL;Тантал;10/04/2009;19/03/2009;не выплач.;0,125;не выплач.;0,125;2008;19/03/2009;Интерфакс;6453011530
NORR;Нормаль;10/04/2009;26/02/2009;-;-;не выплач.;не выплач.;2008;25/02/2009;Интерфакс;5257005345
URRM;Уралредмет ;10/04/2009;02/03/2009;-;-;не выплач.;-;2008;31/03/2009;ДКК;7707083893
SYNG;Синергия;14/04/2009;06/03/2009;-;-;не выплач.;не выплач.;2008;06/03/2009;Интерфакс;7705634425
TGKJ;ТГК-10;15/04/2009;06/03/2009;не выплач.;-;не выплач.;-;2008;10/03/2009;Интерфакс;7203162698
ZILL;Завод имени И.А.Лихачева;19/06/2009;04/05/2009;-;-;не выплач.;-;2008;27/05/2009;ДКК;7725043886
MUTF;Мурманский Траловый Флот;17/04/2009;11/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;24/02/2009;Интерфакс;5100000010
PRIM;Приморское морское пароходство;17/04/2009;02/03/2009;-;-;не выплач.;не выплач.;2008;04/03/2009;ДКК;2508018932
BRAD;Богословское рудоуправление;17/04/2009;02/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;27/02/2009;Интерфакс;6617002344
ZAPK;Запсибкомбанк;17/04/2009;04/03/2009;-;-;0.5;-;2008;12/03/2009;ДКК;7202021856
ZHDY;Железные дороги Якутии;01/06/2009;28/04/2009;-;-;-;-;2008;15/05/2009;ДКК;1435073060
NEKK;НЕКК;20/04/2009;05/03/2009;-;-;не выплач.;-;2008;20/04/2009;Интерфакс;7450058035
BMKK;Белорецкий металлургический комбинат;21/04/2009;16/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;17/03/2009;Интерфакс;256006322
TTLK;Таттелеком;22/04/2009;11/03/2009;0,01011;-;0,01011;-;2008;12/03/2009;Интерфакс;1681000024
PMOT;Пермские моторы;22/04/2009;11/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;16/03/2009;Интерфакс;5904000814
ILSO;Илецксоль ;22/04/2009;17/03/2009;-;-;не выплач.;не выплач.;2008;18/03/2009;Интерфакс;5646000237
